RA	DEC	Brightness
5.28	46.00	6.87 Capella (1)    
5.44	28.61	5.30 (4)
5.99	44.95	5.05 beta (2)
6.00	37.21	4.33 (3)
4.95	33.17	4.26 (5)
5.03	43.82	3.96 (6)
5.11	41.23	3.77
5.99	54.28	3.23
5.04	41.08	3.20
5.86	39.15	3.00
6.00	45.94	2.70
6.26	29.50	2.60
5.82	39.18	2.45
5.32	40.10	2.24
5.85	37.31	2.21
6.41	49.29	2.20
4.88	36.70	2.17
5.55	32.19	2.16
6.66	42.49	2.13
5.22	38.48	2.13
4.83	37.49	2.08
7.19	39.32	2.06
6.96	45.09	2.06
5.91	55.71	1.99
6.85	41.78	1.98
5.41	37.39	1.95
4.99	37.89	1.95
5.26	32.69	1.95
6.72	44.52	1.93
5.33	33.96	1.92
5.46	34.48	1.89
7.37	36.76	1.83
7.40	40.67	1.76
5.36	41.80	1.74
6.79	48.79	1.73
6.59	28.02	1.69
6.65	39.90	1.62
6.36	53.45	1.62
6.11	38.48	1.61
5.64	30.49	1.54
5.77	49.83	1.49
6.48	30.49	1.40
6.64	39.39	1.26
6.02	47.90	1.24
6.64	28.98	1.21
6.50	46.69	1.08
6.94	46.27	1.08
7.30	40.88	1.08
5.01	39.39	0.98
6.98	38.05	0.93
6.88	38.87	0.85
5.31	33.77	0.81
6.30	46.36	0.63
6.90	38.51	0.51
5.39	28.94	0.49
5.01	39.65	0.47
5.32	33.99	0.46
6.29	46.42	0.43
5.81	39.53	0.15
5.27	46.42	0.00
