RA	     DEC	Brightness
14.26	19.18	8.35
14.75	27.07	5.91
13.91	18.40	5.62
14.53	38.31	5.28
15.26	33.31	4.81
15.03	40.39	4.78
14.53	30.37	4.71
14.69	13.73	4.52
14.42	51.85	4.25
13.82	15.80	4.23
14.27	46.09	4.12
14.58	29.75	3.83
13.79	17.46	3.81
14.22	51.79	3.79
15.07	26.95	3.75
14.86	19.10	3.71
14.75	16.96	3.70
14.27	51.37	3.55
14.72	26.53	3.51
14.30	35.51	3.50
15.04	25.01	3.49
14.17	25.09	3.47
14.69	8.16	3.44
14.68	16.42	3.41
13.83	21.26	3.39
15.12	24.87	3.37
15.53	40.90	3.32
13.94	27.49	3.30
15.52	40.83	3.27
14.14	49.46	3.05
15.63	40.35	3.05
15.24	29.16	3.03
14.25	10.10	2.98
15.36	32.93	2.93
14.65	44.40	2.91
14.44	19.23	2.91
14.32	13.00	2.90
15.09	48.15	2.72
13.68	22.50	2.72
14.99	39.27	2.67
15.14	26.30	2.63
13.89	17.93	2.59
13.98	21.70	2.55
14.82	46.12	2.54
13.68	19.96	2.54
14.68	16.42	2.54
14.54	22.26	2.40
13.78	25.70	2.34
14.02	27.39	2.08
14.22	51.79	1.61
14.83	48.72	0.00
