RA	DEC	Brightness
6.75	-16.72	7.54
6.98	-28.97	4.58
7.14	-26.39	4.24
6.38	-17.96	4.11
7.40	-29.30	3.63
6.34	-30.06	3.09
7.05	-23.83	3.06
7.03	-27.93	2.61
7.25	-26.77	2.26
6.37	-33.44	2.23
6.90	-24.18	2.21
6.83	-32.51	2.19
6.61	-19.26	2.17
6.90	-12.04	2.00
7.06	-15.63	1.96
6.53	-23.42	1.75
6.94	-17.05	1.70
7.31	-24.95	1.68
6.63	-18.24	1.65
6.47	-32.58	1.60
6.58	-22.96	1.58
7.24	-26.35	1.43
6.93	-20.14	1.42
7.28	-23.32	1.29
6.89	-20.22	1.25
7.31	-24.56	1.13
6.94	-14.04	0.99
6.74	-31.07	0.91
6.78	-14.43	0.81
6.61	-18.66	0.39
6.92	-20.40	0.29
7.20	-25.94	0.18
6.78	-21.02	0.00
