RA	DEC	Brightness
16.50	21.49	3.72
16.69	31.60	3.69
17.24	14.39	3.43
17.25	24.84	3.36
17.25	36.81	3.31
17.24	14.39	3.16
17.77	27.72	3.07
16.71	38.92	2.99
17.96	29.25	2.79
16.37	19.15	2.73
17.66	46.01	2.69
18.13	28.76	2.66
18.39	21.77	2.65
16.33	46.31	2.62
17.94	37.25	2.61
17.00	30.93	2.57
17.39	37.15	2.32
18.76	20.55	2.30
16.57	42.44	2.29
16.15	44.93	2.22
18.15	20.81	2.14
18.78	18.18	2.13
17.51	26.11	2.08
17.98	30.19	2.08
16.42	14.03	1.91
18.91	22.65	1.89
15.88	42.45	1.87
17.29	37.29	1.84
18.00	16.75	1.82
16.05	46.04	1.78
17.29	33.10	1.69
16.82	45.98	1.67
16.54	11.49	1.64
17.09	12.74	1.62
16.65	48.93	1.59
18.34	21.96	1.53
18.20	31.41	1.52
16.48	41.88	1.48
17.31	10.86	1.47
16.86	24.66	1.46
18.10	22.22	1.43
18.15	20.05	1.39
17.81	25.62	1.39
18.35	28.87	1.37
17.35	24.50	1.37
18.12	30.56	1.36
17.89	40.01	1.34
16.76	8.58	1.34
16.80	5.25	1.25
16.51	20.48	1.25
18.04	20.83	1.24
17.03	33.57	1.22
18.32	24.45	1.21
17.24	14.39	1.17
16.88	31.70	1.16
17.61	48.59	1.14
16.92	18.43	1.13
17.92	26.05	1.13
15.91	43.14	1.11
17.13	35.94	1.10
17.34	32.47	1.10
18.87	21.43	1.10
16.22	5.02	1.04
16.84	7.25	1.02
16.42	37.39	0.95
17.71	24.56	0.93
17.34	46.24	0.90
16.54	5.52	0.86
18.35	29.86	0.86
17.53	28.41	0.84
16.26	18.81	0.80
16.19	23.49	0.79
16.84	29.81	0.77
17.40	22.96	0.77
17.72	24.33	0.76
15.93	42.57	0.74
17.63	24.31	0.73
16.68	4.22	0.73
16.01	4.43	0.68
16.40	6.95	0.67
17.45	48.26	0.66
16.69	26.92	0.57
16.92	25.73	0.42
16.19	16.67	0.41
16.15	17.21	0.36
17.18	24.24	0.29
18.04	22.92	0.28
17.06	35.41	0.26
16.96	25.35	0.20
16.38	32.33	0.08
16.50	48.96	0.06
16.87	14.97	0.00
