RA	    DEC	    Brightness
10.14	11.97	6.55
10.33	19.84	5.97
11.82	14.57	5.82
10.33	19.84	5.58
11.24	20.52	5.42
9.76	23.77	4.97
11.24	15.43	4.60
10.28	23.42	4.54
10.12	16.76	4.54
9.69	9.89	4.43
10.55	9.31	4.08
9.88	26.01	4.07
11.35	6.03	3.91
11.62	-0.82	3.65
9.53	22.97	3.64
10.93	24.75	3.63
10.13	10.00	3.57
11.04	20.18	3.55
11.28	-3.65	3.50
9.41	26.18	3.49
11.80	20.22	3.43
11.08	7.34	3.33
11.25	23.10	3.32
10.00	8.04	3.25
11.03	-2.48	3.20
11.51	-3.00	3.18
11.01	3.62	3.11
11.47	2.86	3.01
9.53	11.30	2.99
11.01	6.10	2.97
9.62	6.84	2.94
9.53	9.72	2.88
10.58	6.95	2.88
11.29	2.01	2.77
11.68	21.35	2.70
9.97	12.44	2.69
10.82	10.55	2.64
11.26	13.31	2.63
9.73	14.02	2.60
11.40	1.41	2.56
11.23	-0.07	2.55
10.28	13.73	2.54
10.90	-2.13	2.50
10.54	14.14	2.49
10.77	14.19	2.47
10.77	18.89	2.46
11.93	15.65	2.43
11.51	18.41	2.40
11.43	16.46	2.38
10.42	8.78	2.34
9.73	29.97	2.33
9.77	11.81	2.31
10.58	8.65	2.28
11.15	24.66	2.25
9.47	8.19	2.24
9.62	16.44	2.22
11.49	15.41	2.22
10.93	6.19	2.17
10.29	23.11	2.13
11.32	1.65	2.05
11.06	0.00	2.02
10.93	0.74	2.02
11.58	16.80	2.01
10.46	9.76	1.91
9.83	21.18	1.87
10.38	6.54	1.87
11.45	3.01	1.79
10.36	14.98	1.79
9.69	25.91	1.70
9.60	14.38	1.65
11.43	3.86	1.60
10.19	13.36	1.52
9.79	11.57	1.51
9.85	13.07	1.50
11.13	23.32	1.48
9.63	24.67	1.35
10.65	16.13	1.35
9.63	14.35	1.34
10.94	0.43	1.30
11.43	3.30	1.22
11.15	-1.33	1.15
9.85	11.84	1.10
11.37	17.44	0.94
9.65	25.37	0.74
9.97	15.22	0.50
10.18	15.70	0.00
