RA	     DEC	Brightness
5.24	-8.20	6.70
5.92	7.41	6.41
5.42	6.35	5.19 Bellatrix
5.60	-1.20	5.14
5.68	-1.94	5.06
5.80	-9.67	4.77 Saiph
5.53	-0.30	4.42
5.59	-5.91	4.06
4.83	6.96	3.64 Tabit
5.41	-2.40	3.48
5.59	9.93	3.36
5.29	-6.84	3.24
5.59	9.93	3.17
4.85	5.61	3.15
4.90	2.44	3.10
5.65	-2.60	3.04
4.94	13.51	2.77
5.62	9.29	2.74
5.40	-7.81	2.71
6.04	9.65	2.70
5.51	5.95	2.63
4.84	8.90	2.48
6.13	14.77	2.43
5.91	20.28	2.43
5.58	9.49	2.42
5.22	2.86	2.39
4.98	1.71	2.37
6.20	14.21	2.35
5.59	-4.84	2.24
5.65	4.12	2.24
5.45	3.10	2.22
6.07	20.14	2.20
5.53	-7.30	2.20
4.91	10.15	2.18
5.08	15.40	2.17
5.50	-1.09	2.12
4.88	14.25	2.11
5.36	-0.38	2.09
5.87	1.86	2.08
5.65	-7.21	2.03
5.16	15.60	2.01
5.71	1.47	1.93
6.20	16.13	1.91
5.41	1.85	1.87
5.38	3.54	1.83
5.41	-0.89	1.76
6.06	19.69	1.70
4.91	11.43	1.65
6.45	0.30	1.64
5.98	0.55	1.63
5.59	-4.86	1.60
4.89	2.51	1.51
5.32	2.60	1.51
5.57	3.77	1.50
6.26	16.14	1.50
5.86	-7.52	1.49
6.29	9.94	1.44
5.16	9.83	1.40
5.52	3.29	1.37
6.26	12.55	1.36
5.27	11.34	1.32
6.45	-0.28	1.29
5.57	14.31	1.24
6.08	4.16	1.21
6.08	5.42	1.17
6.20	19.79	1.08
5.97	1.84	0.94
5.92	19.75	0.94
5.59	-5.42	0.44
5.53	-0.28	0.00
