RA	    DEC	    Brightness
16.49	-26.43	5.81
17.56	-37.10	5.09 Shaula
17.62	-43.00	4.87 Sargas
16.84	-34.29	4.43
16.01	-22.62	4.40
17.71	-39.03	4.33
16.09	-19.81	4.22
16.09	-19.81	4.10
17.51	-37.30	4.07
16.60	-28.22	3.91
16.35	-25.59	3.83
15.98	-26.11	3.81
16.86	-38.05	3.74
17.79	-40.13	3.73
17.83	-37.04	3.51
17.20	-43.24	3.39
16.87	-38.02	3.18
16.91	-42.36	3.10
15.95	-29.21	2.86
16.11	-20.67	2.75
16.20	-19.46	2.72
16.61	-35.26	2.56
16.07	-11.37	2.55
16.52	-34.70	2.49
17.61	-38.64	2.45
16.12	-20.87	2.39
16.21	-27.93	2.15
16.34	-24.17	2.15
15.89	-25.33	2.13
15.85	-25.75	2.09
16.30	-28.61	1.94
16.50	-25.12	1.93
16.90	-42.36	1.93
17.84	-40.09	1.92
17.08	-34.12	1.85
16.09	-19.80	1.83
16.69	-17.74	1.80
16.20	-10.06	1.79
16.23	-11.84	1.48
16.20	-8.55	1.30
16.95	-33.26	1.23
16.26	-8.37	1.22
15.93	-26.27	1.10
16.13	-12.75	0.95
15.91	-25.24	0.85
17.42	-24.24	0.55
17.10	-21.56	0.44
17.27	-26.55	0.38
17.36	-24.91	0.36
17.24	-26.98	0.09
16.78	-25.53	0.00
