RA	    DEC	    Brightness
4.60	16.51	4.90
5.44	28.61	4.11
3.79	24.11	2.89
5.63	21.14	2.73
4.01	12.49	2.35
4.48	15.87	2.35
4.48	19.18	2.23
3.41	9.03	2.16
3.82	24.05	2.13
4.33	15.63	2.11
3.75	24.11	2.06
3.45	9.73	2.01
4.38	17.54	2.00
4.48	15.96	1.92
3.76	24.37	1.89
4.05	5.99	1.87
3.51	12.94	1.66
3.77	23.95	1.58
4.42	22.29	1.56
4.59	10.16	1.51
4.70	22.96	1.50
4.64	12.51	1.49
4.26	8.89	1.48
4.44	22.81	1.48
4.42	17.93	1.46
3.61	0.40	1.46
3.75	24.47	1.46
5.54	18.59	1.43
4.08	22.08	1.39
4.44	15.62	1.28
5.89	27.61	1.21
5.05	21.59	1.14
4.56	14.84	1.11
4.65	15.92	1.09
4.44	14.71	1.07
4.40	17.44	0.96
5.97	25.95	0.94
5.69	16.53	0.92
5.46	21.94	0.89
5.82	24.57	0.88
5.83	12.65	0.88
4.29	20.58	0.84
5.32	22.10	0.81
4.34	27.35	0.81
4.47	16.36	0.79
4.48	13.05	0.74
3.80	11.14	0.69
4.65	15.80	0.68
4.86	18.84	0.67
3.82	24.14	0.67
4.40	9.46	0.66
3.51	11.34	0.63
5.66	25.90	0.59
4.11	27.60	0.59
4.12	29.00	0.56
4.34	15.10	0.52
4.42	22.20	0.49
5.13	20.42	0.48
4.23	7.72	0.47
5.80	13.90	0.47
4.06	5.44	0.43
3.76	6.05	0.42
4.33	21.77	0.41
4.38	25.63	0.38
5.59	24.04	0.38
4.18	26.48	0.37
4.51	13.72	0.36
5.45	17.96	0.35
4.67	12.20	0.31
4.51	15.69	0.30
5.79	17.73	0.30
3.75	24.29	0.30
5.49	25.15	0.28
4.32	21.14	0.27
5.14	24.27	0.26
4.15	19.61	0.25
4.07	24.11	0.25
4.45	23.00	0.24
5.46	15.87	0.24
5.84	14.31	0.24
5.62	17.04	0.23
4.50	15.64	0.21
3.66	3.06	0.20
4.33	14.04	0.19
5.87	14.17	0.17
3.95	22.48	0.14
4.39	16.78	0.13
4.31	21.58	0.13
3.75	24.84	0.12
3.71	19.70	0.07
5.56	18.54	0.07
4.19	5.52	0.06
4.37	14.08	0.05
5.79	14.49	0.04
3.54	9.37	0.00
