RA	    DEC	    Brightness
12.90	55.96	5.76
11.06	61.75	5.74
13.79	49.31	5.67
13.40	54.93	5.31
11.03	56.38	5.16
11.90	53.69	5.09
11.16	44.50	4.52
10.37	41.50	4.48
8.99	48.04	4.39
9.55	51.68	4.35
12.26	57.03	4.21
8.50	60.72	4.11
10.28	42.91	4.08
11.31	33.09	4.04
9.06	47.16	3.98
9.53	63.06	3.86
11.77	47.78	3.81
11.30	31.53	3.74
9.85	59.04	3.72
13.40	54.92	3.65
9.01	41.78	3.57
13.42	54.99	3.52
9.58	52.05	3.07
9.15	51.60	3.05
9.87	54.06	2.97
9.57	69.83	2.96
8.67	64.33	2.92
9.18	63.51	2.89
13.68	54.68	2.87
10.90	43.19	2.87
9.04	67.63	2.77
9.17	67.13	2.73
11.32	38.19	2.73
9.27	54.02	2.73
13.01	56.37	2.60
11.38	43.48	2.50
10.93	33.51	2.50
11.01	39.21	2.47
10.89	54.59	2.42
9.14	66.87	2.39
9.72	72.25	2.39
10.59	57.08	2.38
9.24	61.42	2.33
9.26	56.74	2.26
9.93	49.82	2.26
11.68	34.20	2.19
12.50	58.41	2.18
11.48	39.34	2.18
8.58	65.15	2.08
13.66	52.92	2.07
12.35	57.86	2.01
8.94	64.60	1.97
10.86	59.32	1.97
13.57	55.35	1.94
8.65	65.02	1.89
10.85	56.58	1.87
13.78	54.43	1.86
13.90	53.73	1.84
12.46	55.71	1.83
8.89	61.96	1.79
11.69	31.75	1.78
10.30	65.11	1.77
9.58	72.21	1.76
10.73	57.20	1.75
12.42	56.78	1.72
11.93	56.60	1.71
11.51	43.17	1.59
11.08	38.24	1.51
12.69	62.71	1.51
12.50	58.77	1.47
11.64	46.83	1.45
10.50	65.63	1.22
12.20	57.05	1.22
10.77	57.37	1.19
9.77	63.65	1.01
12.44	55.16	0.47
10.77	56.92	0.43
9.34	59.78	0.00
